Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Bio,Picture,Link Twitter,Link Facebook,Link Instagram,Link Linkedin
Abiseniya Lemma,abiseniya-lemma,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,64c7cf90ce7e0d4a77fcef17,false,false,Mon Jul 31 2023 15:13:20 GMT+0000 (Coordinated Universal Time),Mon Jul 31 2023 15:13:20 GMT+0000 (Coordinated Universal Time),Mon Jul 31 2023 15:13:28 GMT+0000 (Coordinated Universal Time),"Hi there, thank you for being here! I'm Abiseniya Lemma, a young professional with four years of experience in non-profit management including leading large-scale projects, team management, and driving innovation. I am consistently striving for equity and inclusion across the world through cross-cultural connections and understanding. I'm passionate about AIESEC United States and the opportunity I have to develop and empower over 250 student leaders across the nation as Head of Volunteers. If you are interested in what we do in AIESEC or my impact on our world, please do not hesitate to reach out.",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/64c7cf82806cf6030561b477_1660314847364.jpg,,,,https://www.linkedin.com/in/abiseniyalemma/
Elizabeth Onibokun,elizabeth-onibokun,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad54fad4ca0c3c381d9f5,false,false,Wed Mar 23 2022 08:07:43 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:07:43 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),"I'm a rising fourth-year political science student at UCLA with a concentration in international relations and a minor in history. I love all things AIESEC and have always been concerned with global issues and foreign policy. With a Jamaican mother and Nigerian father, culture is extremely important in my family and is the main component of my life. I grew up dancing ballet and modern and love to travel whenever I can!",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad5324c7dd7495a9e1e52_Elizabeth-Onibokun.jpg,,,https://www.instagram.com/elixer_beth/,
Ian Kawetschanky,ian-k,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad6e7b264603281b59804,false,false,Wed Mar 23 2022 08:14:31 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:14:58 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),"Faced with a once in a lifetime opportunity - I made the unconventional but correct choice to defer my final semester studying Marketing and Entrepreneurship at UW-Madison's Wisconsin School of Business to assume the role of Vice President of Business Development for the AIESEC United States. I then served as the President of AIESEC United States through July 2020, which tested my leadership and resolve in ways I never imagined. ",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad6d672ef8318f4b370dd_Ian-Kawetschanky.jpg,,,,
Magdalene Ho,magdalene-ho,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad4c6e8357cab4f753b8d,false,false,Wed Mar 23 2022 08:05:26 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:05:26 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),"I'm a college student from Boston, MA studying marketing at Baylor University in Waco, TX. ",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad4b1fa7b875d567c08a9_Magdalene%20Ho.jpg,,,https://www.instagram.com/magdaleneho/,
Marina Manova,marina-manova,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,649ca4424328c6b80182c318,false,false,Wed Jun 28 2023 21:21:06 GMT+0000 (Coordinated Universal Time),Wed Jun 28 2023 21:21:06 GMT+0000 (Coordinated Universal Time),Wed Jun 28 2023 21:21:19 GMT+0000 (Coordinated Universal Time),"As a passionate youth leader, she is dedicated to empowering young individuals to reach their full potential and create positive change. With a strong belief in the power of youth, she has led diverse teams and facilitated impactful programs that foster personal growth, leadership development, and community engagement. Through her work, she strives to inspire and equip young leaders with the skills, knowledge, and resources they need to make a difference in the world. ",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/649ca406a445560497f05cd0_1648887768231.jpg,,,,https://www.linkedin.com/in/marinamanova/
Marjon Saulon,marjon-saulon,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad5d772ef83a827b36b59,false,false,Wed Mar 23 2022 08:09:59 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:50:55 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),"Born and raised in Asia, Marjon is a current writer and non-profit communications professional in California. He manages his blog, Third-Culture Thoughts, and writes about everything related to culture, the international experience, and success. He served as Local Committee President of AIESEC San Diego in 2017. Personal website: www.marjonsaulon.com Blog: www.third-culturethoughts.com ",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad5bed750584cad383c6d_Marjon-L.jpg,https://twitter.com/marjonlsaulon,,https://www.instagram.com/marjonlorenzo/,https://www.linkedin.com/in/marjonsaulon/
Mateusz Milaszewski,mateusz-milaszewski,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad63cf6dcab801c1ac3c9,false,false,Wed Mar 23 2022 08:11:40 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:11:40 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),"A Junior at the University of Colorado Boulder pursuing a degree in marketing with an emphasis in global business and a minor in Spanish. Striving to promote sustainability and cross-cultural competence. Culturally integrated, trilingual, determined, constantly striving for personal and professional development, and passionate about travel with a love for nature.",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad62b9c0878041b74a2d7_Mateusz-Milaszewski.jpg,,,https://www.instagram.com/yerba_mateusz/,
Nathaniel Kroah,nathaniel-kroah,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad8fb0f85a558978ee1ca,false,false,Wed Mar 23 2022 08:23:23 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:23:23 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),AIESEC United States | Vice President of Finance | A Midwesterner living in New York City,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad8eca1c97211ae0a6ddc_Nathaniel-Kroah.jpg,,,https://www.instagram.com/nathaniel_kroah/,
Nishad Kinhikar,nishad-kinhikar,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,64bfe54ebbfafedc5e56320b,false,false,Tue Jul 25 2023 15:07:58 GMT+0000 (Coordinated Universal Time),Tue Jul 25 2023 17:47:46 GMT+0000 (Coordinated Universal Time),Tue Jul 25 2023 17:47:53 GMT+0000 (Coordinated Universal Time),"I am a 23-year-old MBA Graduate from India and an introverted travel enthusiast. Despite my shyness, I've discovered the beauty of connecting with others, and it has truly enriched my life. I love exploring new places, and my blog VeryFirstTale aims to share my personal adventures, stories and experiences. I hope to inspire my readers to step out of their comfort zones and create their own unforgettable tales. Join me on this journey as we explore the world together!",https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/64bfe5337e8bb3ba7b84ee78_bio%20photo.png,https://twitter.com/nishadkinhikar4,,https://www.instagram.com/nishadkinhikar4/,https://www.linkedin.com/in/nishad-kinhikar-498309104
Renee Osaigbovo,renee-osaigbovo,623ad39de5d1051fe5cb457a,653ad421e882f528b31e54b1,623ad8ab21ca25273dfd81c5,false,false,Wed Mar 23 2022 08:22:03 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 08:22:09 GMT+0000 (Coordinated Universal Time),Wed Mar 23 2022 10:44:42 GMT+0000 (Coordinated Universal Time),AIESEC United States | Vice President 2019-2020,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/623ad8a8e8357c432f7551b4_Rene%CC%81e-Osaigbovo.jpg,,,,
