Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Board Member Profile Picture,Board Title,Job Title,Linkedin Profile,Priority
Adriana Rubio,adriana-rubio-mju6i,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddbda0d93ccb5c45f32f75,false,false,Tue Jan 11 2022 17:25:52 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/61b7956e5b41b31e15be1ab4/6815170d753005d67f16780e_Screenshot%202025-05-02%20at%203.01.35%E2%80%AFp.m..png,Chairwoman of the Board,Managing Director at Code and Theory,https://www.linkedin.com/in/aadrianarubio/,1
Andrew Lewis,andrew-lewis-eknvv,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddc240f197784023454166,false,false,Tue Jan 11 2022 17:45:36 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/61b7956e5b41b31e15be1ab4/681519646fa1d36df316cd12_Screenshot%202025-05-02%20at%203.03.15%E2%80%AFp.m..png,Vice Chairman of the Board,"Partner-in-Charge, Federal Audit at KPMG LLP",https://www.linkedin.com/in/andrew-c-lewis/,6
Arya Sajedi,arya-sajedi,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,65cdea6cba2d76229554f222,false,false,Thu Feb 15 2024 10:41:48 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/61b7956e5b41b31e15be1ab4/68151ab27eec32067d1771a6_arya.jpeg,,Founder and Partner at Quantum Lead,https://www.linkedin.com/in/aryasaj/,14
Chris Gassman,chris-gassman,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddca45c69da32ef6739f68,false,false,Tue Jan 11 2022 18:19:49 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63edea448523a5fb225830af_Chris%20Gassman.webp,,Senior Associate Director at University of Pittsburgh Center for Sustainable Business,https://www.linkedin.com/in/chrisgassman/,7
Diego Zamalloa,diego-zamalloa,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,63eded4a3f55093734e8190b,false,false,Thu Feb 16 2023 08:46:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63eded0b7a4231bf5c1bbd4f_Diego%20Zamalloa.webp,,"Consultant, The Boston Consulting Group",https://www.linkedin.com/in/diegozamalloa/,10
Franklin Morales,franklin-morales,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddc55354731ede173c3050,false,false,Tue Jan 11 2022 17:58:43 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63edeba0d063813114dfa67d_Franklin%20Morales.webp,,Head Of Commercial and Economic Development Affairs at the Embassy of Panama in USA,https://www.linkedin.com/in/franklinmoralesc/,4
Jose Perez Calix,jose-perez-calix,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,688bd8c115eb54285507aca6,false,false,Thu Jul 31 2025 20:57:37 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/61b7956e5b41b31e15be1ab4/688bdc99a60dac663e6eccbf_WhatsApp%20Image%202025-07-31%20at%2017.05.57.jpeg,,Plenary Representative 2025,https://www.linkedin.com/in/joseperezcalix/,16
Lynn Chau,lynn-chau,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,63edee65d063814090dfcd05,false,false,Thu Feb 16 2023 08:50:45 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63edee0db6b5f303ce60d201_Lynn%20Chau.webp,,Associate - Implementation at McKinsey & Company,https://www.linkedin.com/in/lynnchau/,13
Michael Hansen,michael-hansen,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,65cdea9e814b2c82a96f2496,false,false,Thu Feb 15 2024 10:42:38 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/65cdea974c9d616b650fca51_Michael%20Hansen%201.webp,,"Founder and Managing Partner, Frontier Wealth Strategies",https://www.linkedin.com/in/michaelbhansen/,12
Mike Geringer,mike-geringer,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddc7f76d8b71c3851a5f21,false,false,Tue Jan 11 2022 18:09:59 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63edeac31cd7f35547292885_Mike%20Geringer.webp,,Professor of Int. Strategy at University of Ohio,https://www.linkedin.com/in/j-michael-mike-geringer-526b414/,8
Paarth Sharma,paarth-sharma,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,61ddc5d1df4442af0c6583a9,false,false,Tue Jan 11 2022 18:00:49 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/63edeb6aa40b9a1eef1bf9fa_Paarth%20Sharma.webp,,"Product manager, Amazon",https://www.linkedin.com/in/paarthssharma/,5
Paulina Ávila,paulina-avila-yi4q5,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,63edef27291b03374c2c700c,false,false,Thu Feb 16 2023 08:53:59 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/61b7956e5b41b31e15be1ab4/681518c2331db2ce81057e7c_Screenshot%202025-05-02%20at%203.10.31%E2%80%AFp.m..png,,President AIESEC US 24.25,https://www.linkedin.com/in/paulinagtzav/,2
Royce Lee,royce-lee,61ddbd98a79ec93969e24224,653ad421e882f528b31e54b1,65cdeaed62643c6baa29755d,false,false,Thu Feb 15 2024 10:43:57 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),Mon Aug 04 2025 07:57:02 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/65cdeae92a918dcd99e7f367_Royce%20Lee.webp,,"Senior Manager and Chief of Staff to CHRO, Amazon Web Services",https://www.linkedin.com/in/royceslee/,13
