Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Client Logo
DHL Group,dhl-group,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,6579d326814c4d6fb28e5e0f,false,false,Wed Dec 13 2023 15:52:06 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 15:52:06 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d3248465a584fd2540eb_DHL%20Group%20Logo.svg
EATON,eaton,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,61bccba5d1eec03c92aee767,false,false,Mon Dec 13 2021 18:54:52 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:05:31 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d649006399a7a685c0c5_Eaton.svg
Electrolux,electrolux,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,61bccba5d1eec0b7cdaee779,false,false,Fri Dec 17 2021 11:36:10 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:05:55 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d661430cdd5a1397beaa_Electrolux_2015.svg
Husqvarna Group,husqvarna-group,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,61bccba5d1eec07138aee78a,false,false,Fri Dec 17 2021 11:36:25 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:06:32 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d6862d7abb01e0d6db11_Husqvarna_logo.svg
IT Convergence,it-convergence,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,6579d519be9cdb6cc45099ab,false,false,Wed Dec 13 2023 16:00:25 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:00:25 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d51646ab04e21d03295d_IT%20Convergence.webp
International SOS ,international-sos,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,6579d4822649a0006ea9aedc,false,false,Wed Dec 13 2023 15:57:54 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 15:57:54 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d4804a8761c4a0fefbba_International%20SOS%20_1.svg
KPMG,kpmg,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,61bccba5d1eec0cb6eaee7b5,false,false,Fri Dec 17 2021 11:38:46 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:07:19 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d6b5d7be4dd16faac5b4_KPMG_logo.svg
Nokia,nokia,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,6579d3a816c50196059b25b0,false,false,Wed Dec 13 2023 15:54:16 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 15:54:16 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d3a493e0d122e4ce5f63_Nokia.svg
Pwc,pwc,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,61bccba5d1eec0757faee7b1,false,false,Fri Dec 17 2021 11:36:52 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:08:18 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d6f0c7539acbcee7c4ef_PricewaterhouseCoopers_Logo.svg
Schneider Electric,schneider-electric,61bccba5d1eec092ffaee6fb,653ad421e882f528b31e54b1,6579d3740515ef0082522a27,false,false,Wed Dec 13 2023 15:53:24 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 15:53:24 GMT+0000 (Coordinated Universal Time),Wed Dec 13 2023 16:09:24 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/6579d371bcbb26718658e0eb_Schneider%20Electric.svg
