Question,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Which Sub Section?,Order
Are employer gifts tax-deductible?,are-employer-gifts-tax-deductible,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f4378738b3efcb6bbf471,false,false,Thu Nov 20 2025 16:36:08 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:36:08 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Employee donations are tax-deductible. Employer matching is not deductible for you, but it increases your impact.</p>",Employer Giving,6
Can I change or cancel my payroll giving?,can-i-change-or-cancel-my-payroll-giving,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f43f0ccbaf23b3668edf8,false,false,Thu Nov 20 2025 16:38:08 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:38:08 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, you can update or stop it at any time through your employer’s HR or payroll portal.</p>",Payroll Giving,3
Can I make a recurring donation?,can-i-make-a-recurring-donation,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc78399ad9164d1eb55,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:11:30 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),<p>Yes! Just select monthly or annual when you go to make your online donation.</p>,General Donation Questions,11
Can I make my gift through a wire transfer?,can-i-make-my-gift-through-a-wire-transfer,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc868c75fcfcaee63df,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:13:08 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. Please use the following information to complete a wire transfer gift:</p><ul id=""""><li id="""">Bank Name: JPMORGAN CHASE BANK, N.A</li><li id="""">Branch Account Number: 371240516</li><li id="""">Bank routing #: 021-000-021</li><li id="""">SWIFT code: CHASUS33</li></ul><p id="""">Once the wire transfer is initiated, please email <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> with the donor name, e-mail, address, and date of transfer so that we can identify and acknowledge your gift promptly.</p>",General Donation Questions,14
Can I select the project to work for?,can-i-select-the-project-to-work-for,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667295b2b0ba8e80e55429d6,false,false,Wed Jun 19 2024 08:24:18 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:24:18 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, you can select the project you wish to work on; however, availability depends on the chosen travel date. The most common projects align with Sustainable Development Goals (SDGs) such as #3 Health and Well-being, #4 Quality Education, #10 Reduced Inequalities, and #17 Partnerships for the Goals.‍</p>",Get a scholarship,6
Can international students apply for this scholarship?,can-international-students-apply-for-this-scholarship,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667295e15a7afa2cf36c84ad,false,false,Wed Jun 19 2024 08:25:05 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:25:05 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">This particular scholarship is only open to US citizens or permanent residents. International students may look into other opportunities that AIESEC offers.</p>",Get a scholarship,8
Can my company match my donation?,can-my-company-match-my-donation,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc765d4947cbd72da31,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:10:12 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),<p>Possibly! Many companies offer matching gift programs. Find out if yours does by reaching out to them.</p>,General Donation Questions,9
Do I need to have a passport to apply?,do-i-need-to-have-a-passport-to-apply,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667295f8f011a1f82c43aff7,false,false,Wed Jun 19 2024 08:25:28 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:25:28 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, a valid passport is required to participate in the AIESEC Global Volunteer exchange. If you do not have one at the time of application, please ensure you can obtain one before the program starts.</p>",Get a scholarship,9
Do all employers offer payroll giving?,do-all-employers-offer-payroll-giving,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f44072110d359a5d97ce4,false,false,Thu Nov 20 2025 16:38:31 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:38:31 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">No. If it’s not available, ask HR if they can set it up or if they offer another giving option.</p>",Payroll Giving,4
Do you publish your financial statements or an annual report?,do-you-publish-your-financial-statements-or-an-annual-report,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc64c1231e5acbb2106,false,false,Tue Aug 08 2023 13:06:14 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:26:37 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:27:29 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. As a nonprofit organization, AIESEC is required to disclose all financial information, which you can find here.</p>",General Donation Questions,6
