Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Website Link
Arizona,arizona,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb7407b8dc0da243d3d76,false,true,Fri Mar 11 2022 20:55:28 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:17:18 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb73833a2d37ef8c220e0_Arizona.png,
Atlanta - Georgia Tech,georgia-tech,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb7a17133da279c5514a1,false,false,Fri Mar 11 2022 20:57:05 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:24:53 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 15:00:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb7993b926e6b0f628387_Gerogia-Tech.png,
Austin Univesty of Texas-Austin ,texas-a,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb85b666b5c206f611d6d,false,false,Fri Mar 11 2022 21:00:11 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:25:20 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 15:00:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb85858344945440703a9_Texas-a.png,
Cal Poly,cal-poly,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb756860232349691687f,false,true,Fri Mar 11 2022 20:55:50 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:18:10 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb76d2bf7e31cba72ff6c_Cal-Poly.png,
Chapel Hill North Carolina,north-carolina,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb8073b926ef2ae628495,false,false,Fri Mar 11 2022 20:58:47 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:25:34 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 15:00:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb80555721b74cfab3757_North%20Carolina.png,
Colorado,colorado,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb783a25475862d624829,false,false,Fri Mar 11 2022 20:56:35 GMT+0000 (Coordinated Universal Time),Fri Mar 11 2022 20:56:35 GMT+0000 (Coordinated Universal Time),Fri Mar 11 2022 21:43:08 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb77e2dfbc520995a3310_Colorado.png,
Eau Claire Wisconsin,wisconsin,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb87ab66577b479ac048b,false,false,Fri Mar 11 2022 21:00:42 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:29:24 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 15:00:54 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb876666b5c7cc9611d94_Wisconsin.png,
Georgia,georgia,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb794b66577f5f3ac01f0,false,false,Fri Mar 11 2022 20:56:52 GMT+0000 (Coordinated Universal Time),Fri Mar 11 2022 20:56:52 GMT+0000 (Coordinated Universal Time),Fri Mar 11 2022 21:43:08 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb7908602322e6f916937_Georgia.png,
Houston,houston,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb7b7666b5c193b6117d7,false,true,Fri Mar 11 2022 20:57:27 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:21:09 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb7b4b8518f4c5c3ef375_Houston.png,
Maryland,maryland,622baf837ee681a6ec443ac0,653ad421e882f528b31e54b1,622bb7e2d5a78fded6f16d24,false,true,Fri Mar 11 2022 20:58:10 GMT+0000 (Coordinated Universal Time),Thu Mar 31 2022 14:21:17 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/61b7956e5b41b31e15be1ab4/622bb7bc5834498c0506fb4a_Maryland.png,
